Feature,Importance
LogP,0.09214229808157771
PubchemFP3,0.07239806149365133
MW,0.06480157415048947
PubchemFP601,0.05204607202513176
PubchemFP308,0.02887725494400075
NumHAcceptors,0.023242775953989808
PubchemFP623,0.020950663467483893
PubchemFP621,0.0207533564178739
PubchemFP559,0.016607034261034076
PubchemFP528,0.013062603400686677
PubchemFP395,0.012580437255002583
PubchemFP301,0.011554590305759338
PubchemFP688,0.010100656777412126
PubchemFP750,0.00983034371040312
PubchemFP180,0.009488806938955346
PubchemFP650,0.00798076463343825
PubchemFP813,0.007977761313764976
PubchemFP335,0.007926416449334268
NumHDonors,0.007502059376574861
PubchemFP193,0.00732114368542653
PubchemFP612,0.005650071560681322
PubchemFP339,0.005562918527224211
PubchemFP143,0.00548380199622944
PubchemFP400,0.005385948456504071
PubchemFP405,0.00508423102242634
PubchemFP682,0.004769002611343297
PubchemFP580,0.004680946144864347
PubchemFP338,0.004525145355046945
PubchemFP643,0.00445833439697054
PubchemFP695,0.004355945923011989
PubchemFP716,0.004237036885524775
PubchemFP614,0.0041197859263141495
PubchemFP374,0.0041195864042099135
PubchemFP646,0.0041167973801957344
PubchemFP704,0.004111136542911625
PubchemFP588,0.004102051461856552
PubchemFP199,0.0038733531866847475
PubchemFP259,0.003839318880085104
PubchemFP182,0.003817805496258831
PubchemFP721,0.0037543717554248167
PubchemFP712,0.003739487754343549
PubchemFP699,0.0037193987162759384
PubchemFP366,0.00370734012093515
PubchemFP346,0.003673320566913121
PubchemFP409,0.0036712858560953104
PubchemFP590,0.003636654346063466
PubchemFP697,0.0036353206845605914
PubchemFP645,0.003471390744670188
PubchemFP698,0.003397746805032708
PubchemFP392,0.003352075464080473
PubchemFP784,0.003340434259664751
PubchemFP737,0.003149064122462714
PubchemFP459,0.0031481322646097916
PubchemFP440,0.003122147205824598
PubchemFP797,0.003079139403175089
PubchemFP611,0.0030682585034049973
PubchemFP684,0.0030295231920700627
PubchemFP569,0.003017831837713818
PubchemFP673,0.0029945322422708347
PubchemFP638,0.0028810273316165554
PubchemFP432,0.0028526729975930283
PubchemFP667,0.002834304642957361
PubchemFP305,0.0028192071507397083
PubchemFP390,0.0028022454373852323
PubchemFP391,0.002755093122138219
PubchemFP385,0.0027251475844986507
PubchemFP702,0.0027230376034311056
PubchemFP261,0.0026969383660687533
PubchemFP186,0.0026786384375705264
PubchemFP258,0.0026503357946179485
PubchemFP593,0.0026310486681278594
PubchemFP146,0.0026152991512184125
PubchemFP665,0.0026130501733684524
PubchemFP692,0.002608670090436112
PubchemFP752,0.0025915848933401975
PubchemFP798,0.0025866826476472777
PubchemFP685,0.002485458141389589
PubchemFP188,0.002484571770154984
PubchemFP758,0.002468660943099648
PubchemFP779,0.002461695381899973
PubchemFP475,0.002415224643785423
PubchemFP734,0.0024077099228688352
PubchemFP145,0.0023656189590812444
PubchemFP340,0.0023336785549979617
PubchemFP713,0.0023261683514675248
PubchemFP181,0.0023197013246344274
PubchemFP20,0.002285975264299287
PubchemFP420,0.002281993413690376
PubchemFP352,0.002215720257207299
PubchemFP200,0.0022002729551646627
PubchemFP2,0.002196622935116696
PubchemFP671,0.002161290086100365
PubchemFP257,0.0021507902043642066
PubchemFP622,0.0021439963458967535
PubchemFP150,0.002132686252597238
PubchemFP800,0.0021146376347790023
PubchemFP192,0.0021052699200888574
PubchemFP397,0.002071983121439782
PubchemFP696,0.002058002661047505
PubchemFP707,0.002045301797760225
PubchemFP652,0.0020440191479450323
PubchemFP399,0.002037375013222556
PubchemFP443,0.0020214173846862344
PubchemFP386,0.002019775366823283
PubchemFP822,0.0019810762929784328
PubchemFP15,0.0019396484325002671
PubchemFP187,0.001900508751496231
PubchemFP536,0.0018695219771642797
PubchemFP493,0.0018355450663082456
PubchemFP672,0.0018273592319675302
PubchemFP345,0.0018199416339394802
PubchemFP380,0.0017993755448185366
PubchemFP364,0.0017962585043530448
PubchemFP431,0.0017942139394413695
PubchemFP19,0.0017937746176936772
PubchemFP776,0.001769755615610254
PubchemFP624,0.001753373184078248
PubchemFP615,0.0017402915463222356
PubchemFP691,0.001739886535582995
PubchemFP711,0.0017398351680621646
PubchemFP206,0.0017382446547241435
PubchemFP577,0.0017271035694381661
PubchemFP337,0.0016982707699422098
PubchemFP681,0.0016876505419114384
PubchemFP759,0.001653632102278766
PubchemFP439,0.0016414169240423699
PubchemFP539,0.0016398305707338021
PubchemFP818,0.0016327970607678403
PubchemFP686,0.0016084422476288795
PubchemFP579,0.001607285968584996
PubchemFP735,0.0015904377265516711
PubchemFP367,0.0015706028619963492
PubchemFP656,0.001556940856123963
PubchemFP630,0.001535675772379684
PubchemFP184,0.0015304198828436208
PubchemFP755,0.0015106030083433769
PubchemFP535,0.0014851144153420642
PubchemFP16,0.001466491782282409
PubchemFP452,0.0014594743005012054
PubchemFP430,0.0014448137627428046
PubchemFP703,0.0014386565896509964
PubchemFP538,0.0014030012918800816
PubchemFP451,0.001399014487511979
PubchemFP602,0.0013795741437191262
PubchemFP341,0.001378592475478912
PubchemFP438,0.0013668934298793475
PubchemFP511,0.0013429367796641385
PubchemFP33,0.0013348823762629814
PubchemFP183,0.0013245797713929055
PubchemFP821,0.0013111298299766103
PubchemFP633,0.001299170021487477
PubchemFP299,0.0012918279332244003
PubchemFP777,0.001272978794155218
PubchemFP393,0.001265571920651905
PubchemFP521,0.0012607135771368916
PubchemFP815,0.0012545590947424046
PubchemFP12,0.0012452019055875212
PubchemFP563,0.001229418078523894
PubchemFP293,0.0012287721189873332
PubchemFP610,0.0012264189958439942
PubchemFP13,0.0011887677506254666
PubchemFP363,0.0011822975579545497
PubchemFP756,0.0011743436855981373
PubchemFP256,0.0011563995730496368
PubchemFP689,0.0011486794575158743
PubchemFP357,0.0011481867421334747
PubchemFP632,0.0011339926111847418
PubchemFP213,0.0011031101283390716
PubchemFP435,0.0010941787481508706
PubchemFP447,0.0010783276244398224
PubchemFP185,0.0010692047759302244
PubchemFP144,0.0010627869892501514
PubchemFP620,0.0010621701649735262
PubchemFP377,0.0010517599995234854
PubchemFP714,0.001046802299639182
PubchemFP553,0.001046129456830272
PubchemFP437,0.0010280922672476574
PubchemFP576,0.001014247045411413
PubchemFP687,0.0010135251775804668
PubchemFP639,0.0010130044511792143
PubchemFP662,0.0010128330498913763
PubchemFP287,0.0010126453149822163
PubchemFP502,0.0010121956707278626
PubchemFP153,0.00100879369722175
PubchemFP693,0.00100357211247202
PubchemFP540,0.0009932672003982366
PubchemFP24,0.0009758880606791106
PubchemFP628,0.0009722528260592828
PubchemFP717,0.0009696046336766362
PubchemFP445,0.0009686485194740205
PubchemFP659,0.0009631521697040756
PubchemFP372,0.0009296434500214172
PubchemFP527,0.0009158481069626391
PubchemFP334,0.0009125335856787813
PubchemFP179,0.0008939285005714931
PubchemFP453,0.0008850467456533169
PubchemFP491,0.0008844621438337241
PubchemFP780,0.0008808924807319858
PubchemFP782,0.0008798412918206407
PubchemFP597,0.0008601043944505782
PubchemFP719,0.0008512426944955083
PubchemFP421,0.0008509856934201623
PubchemFP819,0.0008400123117028402
PubchemFP546,0.0008398268843246031
PubchemFP349,0.0008350089145467452
PubchemFP544,0.0008319629864646577
PubchemFP350,0.0008300685792853091
PubchemFP464,0.0008242086160251634
PubchemFP485,0.0008204414496179994
PubchemFP492,0.0008185410960772673
PubchemFP501,0.0008125009590533376
PubchemFP516,0.0008043641218930351
PubchemFP23,0.0007992688971655768
PubchemFP607,0.0007898950255776044
PubchemFP362,0.0007836142180835105
PubchemFP705,0.0007614567197586084
PubchemFP353,0.0007450580973876277
PubchemFP674,0.0007350070945592913
PubchemFP375,0.0007337494871353678
PubchemFP566,0.0007277901123433374
PubchemFP567,0.0007276573875835426
PubchemFP373,0.0007249014156258834
PubchemFP427,0.0007222451093444728
PubchemFP495,0.00072049616281613
PubchemFP46,0.0007186064949726286
PubchemFP617,0.0007182849498528736
PubchemFP642,0.000716268879813078
PubchemFP694,0.0007145071386037493
PubchemFP194,0.0007140907059895323
PubchemFP550,0.000712931207127615
PubchemFP585,0.0007127873969130445
PubchemFP558,0.0007072841613146411
PubchemFP532,0.0007007891505517146
PubchemFP605,0.0006922907232828806
PubchemFP860,0.0006805946702454438
PubchemFP542,0.0006772050567386398
PubchemFP636,0.0006697642845057124
PubchemFP449,0.0006696970761500043
